Date,avg_sentiment_score,avg_sentiment_label_score,pos_count,neut_count,neg_count,total,pct_positive,pct_neutral,pct_negative,sentiment_score_combined,sentiment_polarization,log_total_sentiment,z_sentiment_score_combined,z_sentiment_polarization,z_log_total_sentiment
2019-05-13,0.952834082616342,0.1081081081081081,21.0,40.0,13.0,74.0,0.2837837837837837,0.5405405405405406,0.1756756756756756,0.6994162902638718,0.10810810810810811,4.31748811353631,0.443149025929629,0.26655820857235735,1.3369811644435536
2019-05-14,0.9288942235888856,0.1515151515151515,21.0,34.0,11.0,66.0,0.3181818181818182,0.5151515151515151,0.1666666666666666,0.6956805019667653,0.15151515151515157,4.204692619390966,0.42645639270864205,0.4061713879776777,1.2542660198547155
2019-05-15,0.936006568480229,0.2753623188405797,25.0,38.0,6.0,69.0,0.3623188405797101,0.5507246376811594,0.0869565217391304,0.7378132935883341,0.2753623188405797,4.248495242049359,0.614718462499875,0.8045098932867042,1.2863873407816906
2019-05-16,0.9333646641837224,0.0444444444444444,13.0,21.0,11.0,45.0,0.2888888888888888,0.4666666666666667,0.2444444444444444,0.6666885982619389,0.0444444444444444,3.828641396489095,0.29691178888361064,0.06179221211122088,0.9785002943634425
2019-05-17,0.9566568011668192,-0.1791044776119403,12.0,31.0,24.0,67.0,0.1791044776119403,0.4626865671641791,0.3582089552238806,0.6159284175331913,-0.1791044776119403,4.219507705176107,0.07009993238941549,-0.6572241804187446,1.2651302123661199
2019-05-18,0.9736065481390273,0.0,4.0,6.0,4.0,14.0,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.681524583697319,0.0,2.70805020110221,0.3632034637990562,-0.08115763447485524,0.15674882766063303
2019-05-19,0.9351624498764672,-0.0416666666666666,5.0,13.0,6.0,24.0,0.2083333333333333,0.5416666666666666,0.25,0.6421137149135271,-0.04166666666666671,3.2188758248682006,0.1871037693817248,-0.21517311564930186,0.5313472604228624
2019-05-20,0.9267436715902068,0.1372549019607843,15.0,28.0,8.0,51.0,0.2941176470588235,0.5490196078431373,0.1568627450980392,0.6898970407013799,0.13725490196078427,3.9512437185814275,0.4006141366777956,0.3603051270409684,1.0684069779205634
2019-05-21,0.939192928019024,0.0793650793650793,16.0,36.0,11.0,63.0,0.2539682539682539,0.5714285714285714,0.1746031746031746,0.6812445734228406,0.0793650793650793,4.1588830833596715,0.3619522931121099,0.17410994871456648,1.2206729900525364
2019-05-22,0.9378433253454126,0.0144927536231884,15.0,40.0,14.0,69.0,0.217391304347826,0.5797101449275363,0.2028985507246377,0.6608381538287452,0.014492753623188304,4.248495242049359,0.2707702317780567,-0.034543554066352435,1.2863873407816906
2019-05-23,0.9284550213452542,-0.1515151515151515,9.0,38.0,19.0,66.0,0.1363636363636363,0.5757575757575758,0.2878787878787879,0.6044639694871324,-0.1515151515151516,4.204692619390966,0.018873307352298398,-0.5684866569273882,1.2542660198547155
2019-05-24,0.9214726392536948,0.0273972602739726,17.0,41.0,15.0,73.0,0.2328767123287671,0.5616438356164384,0.2054794520547945,0.6532500255597781,0.0273972602739726,4.30406509320417,0.23686417716415334,0.006962133968616428,1.3271378007878991
2019-05-25,0.9398173987865448,-0.0909090909090909,3.0,14.0,5.0,22.0,0.1363636363636363,0.6363636363636364,0.2272727272727272,0.630599451877854,-0.09090909090909091,3.1354942159291497,0.13565455588819508,-0.37355504794637484,0.4702018938308565
2019-05-26,0.9203723390897116,-0.0333333333333333,8.0,13.0,9.0,30.0,0.2666666666666666,0.4333333333333333,0.3,0.634260637362798,-0.03333333333333338,3.4339872044851463,0.15201384115644975,-0.1883700194144126,0.6890926473511084
2019-05-27,0.9346533194184304,0.3333333333333333,31.0,18.0,11.0,60.0,0.5166666666666667,0.3,0.1833333333333333,0.7542573235929012,0.3333333333333334,4.110873864173311,0.688195367428817,0.990966214920717,1.1854668895191234
2019-05-28,0.9177412295341492,0.04,29.0,46.0,25.0,100.0,0.29,0.46,0.25,0.6544188606739044,0.03999999999999998,4.61512051684126,0.2420868863500657,0.04749722745261334,1.555240833947456
2019-05-29,0.9347113102254732,0.056338028169014,18.0,39.0,14.0,71.0,0.2535211267605634,0.5492957746478874,0.1971830985915492,0.6711993256085353,0.056338028169014176,4.276666119016055,0.31706708441117853,0.1000463964089037,1.3070455964961614
2019-05-30,0.9632050210938734,0.088235294117647,17.0,40.0,11.0,68.0,0.25,0.5882352941176471,0.1617647058823529,0.7007141030010055,0.0882352941176471,4.23410650459726,0.44894804618655254,0.20263985507103163,1.275835797851548
2019-05-31,0.9667296589545484,-0.0754716981132075,7.0,35.0,11.0,53.0,0.1320754716981132,0.660377358490566,0.2075471698113207,0.6540692518342216,-0.0754716981132075,3.9889840465642745,0.2405247282009649,-0.32390265697951287,1.096082699451681
2019-06-01,0.9374617659128628,-0.1538461538461538,3.0,5.0,5.0,13.0,0.2307692307692307,0.3846153846153846,0.3846153846153846,0.6100693899851578,-0.15384615384615388,2.6390573296152584,0.04392002332799066,-0.5759840265035808,0.10615500399876947
